"STATEFP.x","COUNTYFP","COUNAME","STNAME","POPULATION","CENTER.LATITUDE","CENTER.LONGITUDE","ED_COUNT_15mile","ED_INVERSE_DIST_15mile","HEALTH_COUNT_15mile","HEALTH_INVERSE_DIST_15mile","GEOID","LSAD","tot_pov_sts_12mths_age_B17020_E","tot_pov_sts_12mths_age_B17020_M","tot_income_12mths_blw_pov_lvl_B17020_E","tot_income_12mths_blw_pov_lvl_B17020_M","tot_edu_attain_25yrs_and_up_B15003_E","tot_edu_attain_25yrs_and_up_B15003_M","tot_edu_attain_25yrs_and_up_HS_diploma_B15003_E","tot_edu_attain_25yrs_and_up_HS_diploma_B15003_M","tot_edu_attain_25yrs_and_up_GED_B15003_E","tot_edu_attain_25yrs_and_up_GED_B15003_M","tot_edu_attain_25yrs_and_up_somecollege_freshman_B15003_E","tot_edu_attain_25yrs_and_up_somecollege_freshman_B15003_M","tot_edu_attain_25yrs_and_up_somecollege_abovefreshman_B15003_E","tot_edu_attain_25yrs_and_up_somecollege_abovefreshman_B15003_M","tot_edu_attain_25yrs_and_up_assoc_B15003_E","tot_edu_attain_25yrs_and_up_assoc_B15003_M","tot_edu_attain_25yrs_and_up_bach_B15003_E","tot_edu_attain_25yrs_and_up_bach_B15003_M","tot_edu_attain_25yrs_and_up_masters_B15003_E","tot_edu_attain_25yrs_and_up_masters_B15003_M","tot_edu_attain_25yrs_and_up_prof_degree_B15003_E","tot_edu_attain_25yrs_and_up_prof_degree_B15003_M","tot_edu_attain_25yrs_and_up_doctorate_B15003_E","tot_edu_attain_25yrs_and_up_doctorate_B15003_M","tot_race_known_E","tot_race_known_M","tot_race_black_african_american_alone_combination_E","tot_race_black_african_american_alone_combination_M","tot_hisp_latino_origin_known_E","tot_hisp_latino_origin_known_M","tot_hisp_latino_origin_E","tot_hisp_latino_origin_M","per_black","per_hisp","per_poverty","per_hs_diploma","perw_adv_degree","arrest_perc"
51,640,"Galax","Virginia",7042,36.665998,-80.918362,6,3.52412606080398e-07,56,6.43790235125807e-06,51640,"25",6379,106,1625,379,4930,179,1414,211,226,92,375,110,581,184,315,114,365,116,124,57,70,48,50,37,6638,NA,620,248,6638,NA,1099,251,9.34,16.56,25.47,28.68,18.74,2.17966682235715
51,650,"Hampton","Virginia",137436,37.042681,-76.366965,162,1.24332988128547e-07,1394,9.61224073142e-07,51650,"25",130712,528,20609,2044,90405,108,21486,1105,3999,509,6331,508,17390,909,9018,554,14641,825,7533,608,1075,236,960,229,135583,NA,71242,486,135583,NA,7599,NA,52.54,5.6,15.77,23.77,36.75,0.925450254256848
51,660,"Harrisonburg","Virginia",48914,38.440627,-78.868871,47,8.58977918569108e-07,167,2.16525247873691e-06,51660,"25",46011,508,12953,899,26831,74,6092,531,991,239,1193,241,2908,379,1734,333,5489,467,2789,347,437,139,932,194,53391,NA,6164,628,53391,NA,10324,NA,11.55,19.34,28.15,22.71,42.42,1.12523828031018
51,670,"Hopewell","Virginia",22591,37.289087,-77.304582,33,1.57001756407639e-07,285,1.78419027485547e-06,51670,"25",22107,125,4639,705,14820,101,4331,455,1065,232,1348,278,2208,406,1138,220,1377,283,391,157,95,75,131,79,22408,NA,9789,168,22408,NA,1705,NA,43.69,7.61,20.98,29.22,21.13,0.615153124446805
51,678,"Lexington","Virginia",7042,37.784093,-79.442982,10,3.17593570043471e-06,42,1.15221822265559e-05,51678,"25",3820,376,826,247,2761,291,612,167,109,73,314,140,230,104,128,95,657,210,187,84,114,73,133,77,7110,NA,477,198,7110,NA,362,221,6.71,5.09,21.62,22.17,44.15,0.616591928251121
51,680,"Lynchburg","Virginia",75568,37.394382,-79.188942,32,1.10509429318963e-07,252,9.02146584496659e-07,51680,"25",69582,762,15182,1196,44472,127,9240,807,2050,261,2922,424,6101,543,3771,545,8963,523,4416,443,1126,225,959,206,80131,NA,24013,168,80131,NA,3194,NA,29.97,3.99,21.82,20.78,43.25,0.904707400823126
51,683,"Manassas","Virginia",37821,38.753009,-77.474795,208,7.71517076143122e-07,1125,4.30712167447914e-06,51683,"25",41296,112,3551,968,26498,68,5967,605,1059,245,1549,261,3360,424,2144,304,4928,380,2353,307,424,150,171,89,41457,NA,6838,301,41457,NA,14863,NA,16.49,35.85,8.6,22.52,37.81,1.31601066256814
51,685,"Manassas Park","Virginia",14273,38.772139,-77.448892,273,1.60272006470876e-06,1737,9.87142446476383e-06,51685,"25",16321,91,1583,584,10816,141,2259,412,305,142,411,150,1517,351,1017,280,2044,398,809,247,173,96,136,100,16423,NA,2765,331,16423,NA,6359,NA,16.84,38.72,9.7,20.89,38.64,1.20760385970994
51,690,"Martinsville","Virginia",13821,36.683587,-79.86482,16,9.54617248646621e-07,84,3.64502002763657e-06,51690,"25",12576,182,3201,492,8987,127,2124,291,682,177,714,142,1147,233,857,177,1266,190,429,114,147,65,71,46,13101,NA,6447,173,13101,NA,703,NA,49.21,5.37,25.45,23.63,30.82,2.10820027902651
51,700,"Newport News","Virginia",180719,37.089637,-76.495942,78,8.85330287971928e-08,564,7.38363072440108e-07,51700,"25",170842,758,26457,1971,116258,122,27833,1154,5423,556,8874,661,21416,1099,11579,756,18774,872,8325,619,1450,308,1091,199,180145,NA,79664,672,180145,NA,15798,NA,44.22,8.77,15.49,23.94,35.45,1.11573903015239
